﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
"spotify:track:29ZwHWh3lI43nAFnVBOagN","Coconut Skins","Damien Rice","9","1","6","225373","spotify:user:1156541371","2014-11-18T07:33:44Z"
"spotify:track:6oWpGuwokWJ4EcWgVQPdUt","Summer Of '69","Bryan Adams","The Best Of Me","1","4","212893","spotify:user:1156541371","2014-11-18T07:33:50Z"
"spotify:track:0CkSF2TAqIu8TJaVwwAOnT","If You Only Knew","Shinedown","The Sound of Madness","1","6","226640","spotify:user:1156541371","2014-11-18T07:33:59Z"
"spotify:track:7oA2oLRylvnkJ2hTGEHfvY","What A Shame","Shinedown","The Sound of Madness","1","8","258973","spotify:user:1156541371","2014-11-18T07:34:03Z"
"spotify:track:64MphoztnRCPcVsBLKVzBo","Sound Of Madness","Shinedown","Sound Of Madness (International)","1","1","233986","spotify:user:1156541371","2014-11-18T07:34:07Z"
"spotify:track:530i1B7HwJDC6zOQf0NWVo","Diamond Eyes [Boom-Lay Boom-Lay Boom]","Shinedown","Diamond Eyes [Boom-Lay Boom-Lay Boom]","1","1","336112","spotify:user:1156541371","2014-11-18T07:34:12Z"
"spotify:track:0RfygcpioPpPvrPOo4ERrS","Here Comes The Summer","Moke","Shorland (Limited Festival Edition)","1","4","238013","spotify:user:1156541371","2014-11-18T07:34:19Z"
"spotify:track:1KDYN3odJHnj9pqGHN3FVs","My Body","Young the Giant","Young the Giant (Special Edition)","1","2","244400","spotify:user:1156541371","2014-11-18T07:34:23Z"
"spotify:track:5JHNg1hxZFT7TDEphhM4wj","Waiting For The End","Linkin Park","A Thousand Suns","1","8","231680","spotify:user:1156541371","2014-11-18T07:34:30Z"
"spotify:track:26iOrzGEyDYZwpdO4dWQOK","Chevy Thunder","Spector","Chevy Thunder","1","1","227457","spotify:user:1156541371","2014-11-18T07:34:36Z"
"spotify:track:5P9e1tsOiJs1Fge0yFEJfS","All These Things That I've Done","The Killers","Hot Fuss","1","5","301573","spotify:user:1156541371","2014-11-18T07:34:46Z"
"spotify:track:0a6OmwHaHSDEjLefvsyBlW","Deliver Us from Evil","Bullet For My Valentine","Scream Aim Fire Deluxe Edition","1","6","358280","spotify:user:1156541371","2014-11-18T07:34:53Z"
"spotify:track:1cRNEme8Bp7V8eNIAeyiAk","Hanging By A Moment","Lifehouse","No Name Face","1","1","216066","spotify:user:1156541371","2014-11-18T07:34:58Z"
"spotify:track:0lSiHMSduUp2vVbWTFtHSi","Biloxi Parish","The Gaslight Anthem","Handwritten (Special Edition)","1","8","232013","spotify:user:1156541371","2014-11-18T07:35:03Z"
"spotify:track:42WPVWtxYdFE9fb8Vp24FR","Running Up That Hill","Placebo","Best Of The Bands","1","13","294093","spotify:user:1156541371","2014-11-18T07:35:09Z"
"spotify:track:3WoF0QidrggYV482mOb7ye","Glycerine","Bush","Sixteen Stone","1","10","266506","spotify:user:1156541371","2014-11-18T07:35:16Z"
"spotify:track:5JvTbKF57YCbYAjx1uMv7k","Live To Rise","Soundgarden","Avengers Assemble","1","1","280613","spotify:user:1156541371","2014-11-18T07:35:23Z"
"spotify:track:4Vl6ksJLE29Dhlq9Bc3L11","Waitin' on a Sunny Day","Bruce Springsteen","The Rising","1","3","256133","spotify:user:1156541371","2014-11-18T07:35:44Z"
"spotify:track:6er34KSc9Qr1Hwm2P1vnxW","What If","Go Back To The Zoo","What If","1","1","219853","spotify:user:1156541371","2014-11-18T07:35:49Z"
"spotify:track:5eHm89VReTazb1adjhibhv","Booooom, Blast & Ruin","Biffy Clyro","Only Revolutions","1","9","196853","spotify:user:1156541371","2014-11-18T07:36:07Z"
"spotify:track:7o7uyFo9y78d3li0wEkepY","Different People","Biffy Clyro","Opposites (Deluxe)","1","1","311493","spotify:user:1156541371","2014-11-18T07:36:10Z"
"spotify:track:2inSaXfDWLkOfwYPZItoBw","Short Change Hero","The Heavy","The House That Dirt Built","1","5","322266","spotify:user:1156541371","2014-11-18T07:36:18Z"
"spotify:track:4S5RQJ9UmpkS61bSmMPjEi","If I Ever Leave This World Alive","Flogging Molly","Drunken Lullabies","1","4","201533","spotify:user:1156541371","2014-11-18T07:36:26Z"
"spotify:track:2NFyWtBM9pTPszMMmxjVOl","What’s Left of the Flag","Flogging Molly","Drunken Lullabies","1","2","218960","spotify:user:1156541371","2014-11-18T07:36:30Z"
"spotify:track:7jeI6EdY0elPSNz80mAKS8","In Pieces","Linkin Park","Minutes To Midnight (Explicit Version)","1","11","218013","spotify:user:1156541371","2014-11-18T07:36:39Z"
"spotify:track:7rsLlDkCuNQ6QMCHbdc0W1","Wicked Soul","Kubb","Mother","1","4","226173","spotify:user:1156541371","2014-11-18T07:36:47Z"
"spotify:track:5dF9wSu8grybegyJHXd6GN","Mulholland Drive","The Gaslight Anthem","Handwritten (Special Edition)","1","4","237600","spotify:user:1156541371","2014-11-18T07:36:54Z"
"spotify:track:38YDmE1CQvaJsvgObaUQsY","Blue Dahlia","The Gaslight Anthem","Handwritten (Deluxe Version)","1","12","270373","spotify:user:1156541371","2014-11-18T07:36:58Z"
"spotify:track:4qx6KUiBAsuZB9ubcreapu","Matilda","alt-J","An Awesome Wave","1","8","228706","spotify:user:1156541371","2014-11-18T07:37:04Z"
"spotify:track:0MUh20kYFOG1vN8R6GEAnR","About Today","The National","Cherry Tree","1","5","250760","spotify:user:1156541371","2014-11-18T07:37:14Z"
"spotify:track:1HRThJebs60Dk6jAhpkwsm","Savior","Rise Against","Appeal To Reason (International Version)","1","11","242280","spotify:user:1156541371","2014-11-18T07:37:19Z"
"spotify:track:3nhJpxZXEQTsZwrDUihXQf","Drunken Lullabies","Flogging Molly","Drunken Lullabies","1","1","230640","spotify:user:rhahyrion","2014-11-18T19:37:55Z"
"spotify:track:7x8dCjCr0x6x2lXKujYD34","The Pretender","Foo Fighters","Echoes, Silence, Patience & Grace","1","1","269373","spotify:user:rhahyrion","2014-11-18T19:38:11Z"
"spotify:track:2XvrMHbSO077Ajg7QTTNdY","Let It Die","Foo Fighters","Echoes, Silence, Patience & Grace","1","2","244960","spotify:user:rhahyrion","2014-11-18T19:38:11Z"
"spotify:track:1fGM7e31PM5YU15fF0P3h2","Black Saturday","Mando Diao","Aelita","1","1","201853","spotify:user:rhahyrion","2014-11-18T19:38:38Z"
"spotify:track:1hKdDCpiI9mqz1jVHRKG0E","Enter Sandman","Metallica","Metallica","1","1","331573","spotify:user:rhahyrion","2014-11-18T19:39:00Z"
"spotify:track:3ZFwuJwUpIl0GeXsvF1ELf","Nothing Else Matters","Metallica","Metallica","1","8","388733","spotify:user:rhahyrion","2014-11-18T19:39:00Z"
"spotify:track:2GTBnTnkvaNhVg7ADGnVzN","Prayer Of The Refugee","Rise Against","The Sufferer & The Witness","1","6","199386","spotify:user:rhahyrion","2014-11-18T19:39:32Z"
"spotify:track:19hz7Zad06j7XOuqjNkRIZ","Tranquilize","The Killers, Lou Reed","Sawdust","1","1","225186","spotify:user:1156541371","2014-11-22T12:54:27Z"
"spotify:track:3ApqBYwIRlxpl54toWbzzr","Shadowplay","The Killers","Sawdust","1","2","247213","spotify:user:1156541371","2014-11-22T12:54:31Z"
"spotify:track:4L2eEdIqaUnRNI77KOyAra","Leave The Bourbon On The Shelf","The Killers","Sawdust","1","4","218546","spotify:user:1156541371","2014-11-22T12:54:47Z"
"spotify:track:3FH7TxtLZMD2Ws7e6yoTPs","Kill Your Heroes","AWOLNATION","Megalithic Symphony (Deluxe Edition)","1","8","178841","spotify:user:rhahyrion","2014-11-23T17:36:45Z"
"spotify:track:0G8SywgMLkEAtJwzUTxGXH","Sail","AWOLNATION","Megalithic Symphony (Deluxe Edition)","1","10","259102","spotify:user:rhahyrion","2014-11-23T17:36:45Z"
"spotify:track:72aCha2Meq7txnk451hz7k","Helicopter","Bloc Party","Silent Alarm (with hidden track)","1","2","220173","spotify:user:rhahyrion","2014-11-23T17:37:08Z"
"spotify:track:6U5hUX40OWY6l0HaPUWElZ","Banquet","Bloc Party","Silent Alarm (with hidden track)","1","4","200400","spotify:user:rhahyrion","2014-11-23T17:37:08Z"
"spotify:track:3GfOAdcoc3X5GPiiXmpBjK","Song 2","Blur","Blur: The Best Of","1","2","121880","spotify:user:rhahyrion","2014-11-23T17:37:17Z"
"spotify:track:4c9h64bhthsMLTvbTYfUwn","Blow Me Away","Breaking Benjamin","Halo 2, Vol. 1 (Original Game Soundtrack)","1","2","205333","spotify:user:rhahyrion","2014-11-23T17:37:28Z"
"spotify:track:1XKopm6Ka62xxgI3xIjcRJ","The Diary Of Jane","Breaking Benjamin","Phobia","1","2","200548","spotify:user:rhahyrion","2014-11-23T17:37:28Z"
"spotify:track:4eA2rWnbSenypoOsoeWF7r","End Credits","Chase & Status, Plan B","No More Idols (Platinum Edition)","1","15","200600","spotify:user:rhahyrion","2014-11-23T17:37:54Z"
"spotify:track:69fnjQD0XlxBgQMUc89rV1","Nothing Left to Prove","Chuck Ragan","Covering Ground","1","1","209853","spotify:user:rhahyrion","2014-11-23T17:38:21Z"
"spotify:track:3UM9c3l8rQw5pZECv8GRPB","Viva La Vida - Live","Coldplay","Live 2012","1","9","298333","spotify:user:rhahyrion","2014-11-23T17:39:00Z"
"spotify:track:7LVHVU3tWfcxj5aiPFEW4Q","Fix You","Coldplay","X & Y","1","4","295533","spotify:user:rhahyrion","2014-11-23T17:39:00Z"
"spotify:track:7BnIjS9zfvqFcLXr0MV1FA","Rex","Customs","Enter The Characters","1","5","200066","spotify:user:rhahyrion","2014-11-23T17:39:07Z"
